X,Y
490531.465188,5458135.81006
494394.748341,5455324.943630001
489804.361896,5458898.682
494470.590554,5457726.535730001
494470.855092,5457745.50546
494470.855092,5457745.50546
494470.855092,5457745.50546
494480.84474300005,5457806.08108
494425.24013900006,5458933.68052
490785.393871,5457960.91344
490833.772345,5457995.68891
490599.11573599995,5459416.02119
490628.15207700006,5459399.9753
490628.15207700006,5459399.9753
490735.29307200003,5458092.43862
490735.29307200003,5458092.43862
494193.794943,5450937.01183
490698.746163,5457992.899540001
490731.47248199995,5458023.83241
490764.334675,5458062.35251
490764.334675,5458062.35251
490764.334675,5458062.35251
494412.604245,5458229.43254
494413.398529,5458229.4186
490176.680182,5456649.81222
490190.209556,5456445.13187
490177.323579,5456141.30953
490174.942328,5457110.396430001
490174.942328,5457110.396430001
490141.86855699995,5450653.05112
490077.49609,5450192.37323
490149.373774,5450172.49983
490128.17284799996,5456868.37474
490154.714519,5456757.94536
490227.51152700005,5456755.91814
490227.51152700005,5456755.91814
490695.426133,5459565.96463
490745.841553,5459529.058540001
490761.359033,5459636.447319999
494585.601505,5458318.71932
490341.244552,5459365.0758
490341.244552,5459365.0758
490341.244552,5459365.0758
489850.204166,5458776.7212
489981.796278,5458955.760009999
490035.19122200005,5458514.95924
490147.637637,5457503.73579
494517.73072700005,5455159.87624
494370.07278900006,5457696.21304
494931.28247200005,5457670.99538
494931.7437,5457699.14879
489971.15052799997,5454747.045469999
489755.369122,5457785.57409
489756.42103500006,5457810.442530001
489764.40317700006,5457805.98176
494574.04539799993,5457427.98759
494546.699461,5457237.97722
494398.528371,5451703.22893
494606.20402299997,5456629.40015
494606.20402299997,5456629.40015
494606.20402299997,5456629.40015
494531.93524399993,5458427.9818
494592.75389700005,5458736.01272
494592.75389700005,5458736.01272
494388.96760200005,5450730.81846
494579.57088,5458527.14491
494594.36822799995,5458517.689180001
489882.07595200004,5458901.11125
489909.77047,5458860.80259
489910.907964,5458859.67571
490393.245265,5458132.7753800005
490435.07604799996,5458022.93355
489676.090675,5457754.06728
490542.745213,5459472.14267
490544.444378,5459470.4886300005
492871.707034,5457674.858990001
490773.80972799996,5457823.3644199995
489836.815641,5450216.71813
494558.38,5458226.78377
494559.25290200004,5458226.76792
