year,neighbourhood,percentage
2008,Fairview,-0.71
2008,Grandview-Woodland,-19.29
2008,Hastings-Sunrise,0.44
2008,Kensington-Cedar Cottage,31.09
2008,Kerrisdale,9.02
2008,Killarney,-6.13
2008,Kitsilano,0.0
2008,Marpole,-12.84
2008,Mount Pleasant,3.5
2008,Oakridge,4.58
2008,Renfrew-Collingwood,67.01
2008,Riley Park,-1.83
2008,Shaughnessy,-32.37
2008,South Cambie,-32.52
2008,Strathcona,-31.82
2008,Sunset,30.67
2008,Victoria-Fraserview,-10.71
2008,West End,24.57
2008,West Point Grey,27.06
2009,Arbutus-Ridge,-36.1
2009,Dunbar-Southlands,10.73
2009,Fairview,32.65
2009,Grandview-Woodland,-1.92
2009,Hastings-Sunrise,-29.41
2009,Kensington-Cedar Cottage,13.89
2009,Kerrisdale,-6.83
2009,Killarney,31.36
2009,Kitsilano,-0.3
2009,Marpole,-21.23
2009,Mount Pleasant,-11.09
2009,Oakridge,-39.57
2009,Renfrew-Collingwood,33.45
2009,Riley Park,-13.87
2009,Shaughnessy,-38.08
2009,South Cambie,78.0
2009,Strathcona,-24.16
2009,Sunset,12.22
2009,Victoria-Fraserview,9.9
2009,West End,-17.12
2009,West Point Grey,22.83
2010,Arbutus-Ridge,-4.72
2010,Dunbar-Southlands,5.26
2010,Fairview,-9.18
2010,Grandview-Woodland,-1.04
2010,Hastings-Sunrise,-8.71
2010,Kensington-Cedar Cottage,-28.84
2010,Kerrisdale,-18.25
2010,Killarney,18.87
2010,Kitsilano,-13.49
2010,Marpole,-11.39
2010,Mount Pleasant,9.74
2010,Oakridge,-8.38
2010,Renfrew-Collingwood,7.81
2010,Riley Park,25.34
2010,Shaughnessy,10.76
2010,South Cambie,-11.15
2010,Strathcona,16.3
2010,Sunset,-16.8
2010,Victoria-Fraserview,5.67
2010,West End,9.92
2010,West Point Grey,-40.49
2011,Arbutus-Ridge,-1.64
2011,Dunbar-Southlands,-20.83
2011,Fairview,-3.16
2011,Grandview-Woodland,-17.39
2011,Hastings-Sunrise,-11.18
2011,Kensington-Cedar Cottage,19.26
2011,Kerrisdale,-4.35
2011,Killarney,22.73
2011,Kitsilano,9.79
2011,Marpole,0.96
2011,Mount Pleasant,16.23
2011,Oakridge,-10.06
2011,Renfrew-Collingwood,7.53
2011,Riley Park,15.2
2011,Shaughnessy,-11.34
2011,South Cambie,-11.99
2011,Strathcona,-19.36
2011,Sunset,15.65
2011,Victoria-Fraserview,-16.9
2011,West End,-9.28
2011,West Point Grey,4.24
2012,Arbutus-Ridge,6.89
2012,Dunbar-Southlands,2.05
2012,Fairview,46.79
2012,Grandview-Woodland,3.46
2012,Hastings-Sunrise,12.79
2012,Kensington-Cedar Cottage,-14.41
2012,Kerrisdale,5.35
2012,Killarney,-3.59
2012,Kitsilano,6.82
2012,Marpole,9.31
2012,Mount Pleasant,-26.52
2012,Oakridge,-32.12
2012,Renfrew-Collingwood,0.49
2012,Riley Park,19.9
2012,Shaughnessy,21.86
2012,South Cambie,-3.99
2012,Strathcona,14.53
2012,Sunset,-17.52
2012,Victoria-Fraserview,2.93
2012,West End,7.47
2012,West Point Grey,-0.99
2013,Arbutus-Ridge,-10.03
2013,Dunbar-Southlands,-2.23
2013,Fairview,12.17
2013,Grandview-Woodland,23.53
2013,Hastings-Sunrise,-0.32
2013,Kensington-Cedar Cottage,-9.49
2013,Kerrisdale,-30.19
2013,Killarney,-22.08
2013,Kitsilano,21.6
2013,Marpole,4.68
2013,Mount Pleasant,-14.23
2013,Oakridge,11.02
2013,Renfrew-Collingwood,-16.12
2013,Riley Park,38.17
2013,Shaughnessy,-5.43
2013,South Cambie,7.89
2013,Strathcona,24.37
2013,Sunset,-15.09
2013,Victoria-Fraserview,-8.72
2013,West End,7.18
2013,West Point Grey,-9.09
2014,Arbutus-Ridge,-16.49
2014,Dunbar-Southlands,-24.16
2014,Fairview,1.11
2014,Grandview-Woodland,-4.66
2014,Hastings-Sunrise,-4.31
2014,Kensington-Cedar Cottage,-5.41
2014,Kerrisdale,10.16
2014,Killarney,30.55
2014,Kitsilano,3.31
2014,Marpole,2.78
2014,Mount Pleasant,12.68
2014,Oakridge,-12.73
2014,Renfrew-Collingwood,10.36
2014,Riley Park,9.39
2014,Shaughnessy,22.89
2014,South Cambie,8.91
2014,Strathcona,-56.13
2014,Sunset,11.02
2014,Victoria-Fraserview,-14.5
2014,West End,-9.82
2014,West Point Grey,9.9
2015,Arbutus-Ridge,38.74
2015,Dunbar-Southlands,9.74
2015,Fairview,-19.53
2015,Grandview-Woodland,13.97
2015,Hastings-Sunrise,-9.68
2015,Kensington-Cedar Cottage,20.71
2015,Kerrisdale,10.65
2015,Killarney,11.23
2015,Kitsilano,-41.35
2015,Marpole,-8.46
2015,Mount Pleasant,2.01
2015,Oakridge,-20.08
2015,Renfrew-Collingwood,-33.5
2015,Riley Park,0.74
2015,Shaughnessy,22.06
2015,South Cambie,1.2
2015,Strathcona,-1.19
2015,Sunset,-4.22
2015,Victoria-Fraserview,4.4
2015,West End,74.7
2015,West Point Grey,-13.79
2016,Arbutus-Ridge,-7.6
2016,Dunbar-Southlands,-10.39
2016,Fairview,-14.98
2016,Grandview-Woodland,41.48
2016,Hastings-Sunrise,-7.58
2016,Kensington-Cedar Cottage,-1.62
2016,Kerrisdale,-19.24
2016,Killarney,0.89
2016,Kitsilano,-13.64
2016,Marpole,-8.48
2016,Mount Pleasant,-10.06
2016,Oakridge,-6.75
2016,Renfrew-Collingwood,14.67
2016,Riley Park,-18.94
2016,Shaughnessy,49.39
2016,South Cambie,3.02
2016,Strathcona,34.89
2016,Sunset,-1.18
2016,Victoria-Fraserview,8.49
2016,West End,1.57
2016,West Point Grey,-8.95
2017,Arbutus-Ridge,6.28
2017,Dunbar-Southlands,-13.78
2017,Fairview,-18.49
2017,Grandview-Woodland,-30.67
2017,Hastings-Sunrise,14.95
2017,Kensington-Cedar Cottage,-0.53
2017,Kerrisdale,-32.16
2017,Killarney,16.15
2017,Kitsilano,-8.52
2017,Marpole,-1.96
2017,Mount Pleasant,21.75
2017,Oakridge,16.22
2017,Renfrew-Collingwood,-17.84
2017,Riley Park,22.15
2017,Shaughnessy,0.35
2017,South Cambie,20.57
2017,Strathcona,-18.32
2017,Sunset,-29.79
2017,Victoria-Fraserview,-23.41
2017,West End,-11.78
2017,West Point Grey,8.66
2018,Arbutus-Ridge,-8.64
2018,Dunbar-Southlands,-4.36
2018,Fairview,-7.22
2018,Grandview-Woodland,5.33
2018,Hastings-Sunrise,21.01
2018,Kensington-Cedar Cottage,0.0
2018,Kerrisdale,5.47
2018,Killarney,22.56
2018,Kitsilano,-13.68
2018,Marpole,-0.29
2018,Mount Pleasant,-8.03
2018,Oakridge,-20.9
2018,Renfrew-Collingwood,-2.01
2018,Riley Park,-9.21
2018,Shaughnessy,2.3
2018,South Cambie,-17.59
2018,Strathcona,-17.38
2018,Sunset,-8.3
2018,Victoria-Fraserview,-5.14
2018,West End,13.35
2018,West Point Grey,17.56
2019,Arbutus-Ridge,12.69
2019,Dunbar-Southlands,21.98
2019,Fairview,-8.3
2019,Grandview-Woodland,5.78
2019,Hastings-Sunrise,-2.14
2019,Kensington-Cedar Cottage,36.06
2019,Kerrisdale,-12.02
2019,Killarney,-29.19
2019,Kitsilano,-18.86
2019,Marpole,-25.95
2019,Mount Pleasant,37.96
2019,Oakridge,-4.76
2019,Renfrew-Collingwood,-6.11
2019,Riley Park,0.0
2019,Shaughnessy,-11.83
2019,South Cambie,17.45
2019,Strathcona,20.57
2019,Sunset,-3.79
2019,Victoria-Fraserview,-0.99
2019,West End,4.98
2019,West Point Grey,2.37
